fund_code,minimum_amount,maximum_amount_exclusive,fee_rate,fixed_fee,rule_status
001512,0,1000000,0.008,,OFFICIAL_VERIFIED
001512,1000000,2000000,0.005,,OFFICIAL_VERIFIED
001512,2000000,5000000,0.003,,OFFICIAL_VERIFIED
001512,5000000,,,1000,OFFICIAL_VERIFIED
000008,0,500000,0.012,,DISTRIBUTOR_VERIFIED
000008,500000,2000000,0.008,,DISTRIBUTOR_VERIFIED
000008,2000000,5000000,0.004,,DISTRIBUTOR_VERIFIED
000008,5000000,,,1000,DISTRIBUTOR_VERIFIED
000071,0,1000000,0.012,,DISTRIBUTOR_VERIFIED
000071,1000000,5000000,0.009,,DISTRIBUTOR_VERIFIED
000071,5000000,10000000,0.006,,DISTRIBUTOR_VERIFIED
000071,10000000,,,1000,DISTRIBUTOR_VERIFIED
000218,0,1000000,0.007,,DISTRIBUTOR_VERIFIED
000218,1000000,2000000,0.003,,DISTRIBUTOR_VERIFIED
000218,2000000,5000000,0.001,,DISTRIBUTOR_VERIFIED
000218,5000000,,,1000,DISTRIBUTOR_VERIFIED
007466,0,1000000,0.012,,DISTRIBUTOR_VERIFIED
007466,1000000,3000000,0.010,,DISTRIBUTOR_VERIFIED
007466,3000000,5000000,0.008,,DISTRIBUTOR_VERIFIED
007466,5000000,,,1000,DISTRIBUTOR_VERIFIED
016633,0,1000000,0.012,,DISTRIBUTOR_VERIFIED
016633,1000000,5000000,0.008,,DISTRIBUTOR_VERIFIED
016633,5000000,,,1000,DISTRIBUTOR_VERIFIED
021778,0,,0,,DISTRIBUTOR_VERIFIED
050021,0,1000000,0.008,,DISTRIBUTOR_VERIFIED
050021,1000000,5000000,0.003,,DISTRIBUTOR_VERIFIED
050021,5000000,,,1000,DISTRIBUTOR_VERIFIED
050025,0,500000,0.012,,DISTRIBUTOR_VERIFIED
050025,500000,1000000,0.008,,DISTRIBUTOR_VERIFIED
050025,1000000,5000000,0.003,,DISTRIBUTOR_VERIFIED
050025,5000000,,,1000,DISTRIBUTOR_VERIFIED
160706,0,500000,0.015,,DISTRIBUTOR_VERIFIED
160706,500000,2000000,0.012,,DISTRIBUTOR_VERIFIED
160706,2000000,5000000,0.010,,DISTRIBUTOR_VERIFIED
160706,5000000,,,1000,DISTRIBUTOR_VERIFIED
